"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4693","Testing","chromium","2026-06-03","passed","2026-06-03","","example.spec.ts","",""
"","0","Add product to cart test @master @regression","chromium","2026-06-03","skipped","2026-06-03","","AddToCart.spec.ts","",""
"","2700","Login Test with JSON Data: Invalid login @datadriven","chromium","2026-06-18","failed","2026-06-18","","LoginDataDriven.spec.ts","",""
"","7221","User login test @master @sanity @regression","chromium","2026-06-22","passed","2026-06-22","","Login.spec.ts","",""
"","0","execute end-to-end test flow @end-to-end","chromium","2026-06-03","skipped","2026-06-03","","EndToEndTest.spec.ts","",""
"","12458","Tabs test","chromium","2026-06-15","passed","2026-06-15","","example1.spec.ts","",""
"","0","Product search test @master @regression","chromium","2026-06-03","skipped","2026-06-03","","SearchProduct.spec.ts","",""
"","8480","Checkboxes","chromium","2026-06-03","passed","2026-06-03","","example.spec.ts","",""
"","2458","Login Test with CSV Data: Invalid login @datadriven","chromium","2026-06-18","failed","2026-06-18","","LoginDataDriven.spec.ts","",""
"","11739","Radio buttons","chromium","2026-06-03","passed","2026-06-03","","example.spec.ts","",""
"","11737","Dailogs test","chromium","2026-06-07","passed","2026-06-07","","example1.spec.ts","",""
"","10601","Testing 123","chromium","2026-06-03","passed","2026-06-03","","example.spec.ts","",""
"","0","User logout test @master @regression","chromium","2026-06-03","skipped","2026-06-03","","Logout.spec.ts","",""
"","30007","Checkboxes test","chromium","2026-06-06","broken","2026-06-06","","example1.spec.ts","",""
"","20675","Login to App @sanity","chromium","2026-06-15","passed","2026-06-15","","Naukri.spec.ts","",""
"","5901","Dropdowns test","chromium","2026-06-06","passed","2026-06-06","","example1.spec.ts","",""
"","3046","Login Test with CSV Data: Valid login @datadriven","chromium","2026-06-18","passed","2026-06-18","","LoginDataDriven.spec.ts","",""
"","2914","Login Test with JSON Data: Valid login @datadriven","chromium","2026-06-18","passed","2026-06-18","","LoginDataDriven.spec.ts","",""
"","19214","Login to App","chromium","2026-06-20","passed","2026-06-20","","Naukri1.spec.ts","",""
"","1783","Testing 1234","chromium","2026-06-03","passed","2026-06-03","","example.spec.ts","",""
"","17731","Login to App","chromium","2026-06-20","passed","2026-06-20","","Naukri.spec.ts","",""
"","9835","Checkboxes test","chromium","2026-06-06","passed","2026-06-06","","example.spec.ts","",""
"","33040","User registration test @master @sanity @regression","chromium","2026-06-22","broken","2026-06-22","","AccountRegistration.spec.ts","",""
